title,url_alias,body_full_html,meta_description,social_image_url,social_image_alt,difficulty,topics,questions,status
Trust-Busting,/quiz/trust-busting,"<div data-trpl-quiz=""trust-busting""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>",A trust started life as a piece of legal furniture and ended as the word Americans used for everything they feared about big business.,https://quiz.labs.trlibrary.com/assets/img/trustbusting/nursery-rhymes.jpg,A 1902 newspaper cartoon of a swaggering bully labelled Standard Oil Trust with a sleepy policeman behind him,Challenging,Politics & Power; The Presidency,15,Draft
Roosevelt and the Press,/quiz/roosevelt-and-press,"<div data-trpl-quiz=""roosevelt-and-press""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","He gave reporters a room in the White House, a shave to watch and a great deal of news, and cut them off when they broke the terms.",https://quiz.labs.trlibrary.com/assets/img/press/tr-reporters-two.jpg,"Theodore Roosevelt in a hat and spectacles talking to two men, one writing on a folded sheet of paper",Standard,Politics & Power; Writing & Ideas,14,Draft
Roosevelt and the Camera,/quiz/roosevelt-photography,"<div data-trpl-quiz=""roosevelt-photography""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Some of the most famous pictures of him were staged after the fact, a hit film about his safari was shot in Chicago with an actor, and the man doing the real…",https://quiz.labs.trlibrary.com/assets/img/photography/tr-1885-studio.jpg,"Theodore Roosevelt in fringed buckskin with a rifle, seated before a painted studio backdrop in 1885",Standard,Writing & Ideas; Adventure & Exploration,13,Draft
A Book a Day,/quiz/what-he-read,"<div data-trpl-quiz=""what-he-read""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","He got through a book a day and often more, in several languages, and he did it in railway lavatories, in cow camps and on the floor of a national convention.",https://quiz.labs.trlibrary.com/assets/img/reading/library-sagamore-dam.jpg,"The book-lined library at Sagamore Hill, with a portrait over the mantel and a zebra skin on the floor",Challenging,Writing & Ideas; Adventure & Exploration,14,Draft
The Sagamore Table,/quiz/sagamore-table,"<div data-trpl-quiz=""sagamore-table""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A coffee cup his son compared to a bathtub, a wife who ran the White House off a written list, a caterer paid out of the President's own pocket, and a pantry…",https://quiz.labs.trlibrary.com/assets/img/table/sagamore-exterior.jpg,"Sagamore Hill seen from the lawn, a large shingled house with a wide porch behind a weeping tree",Standard,Family & Home; The Presidency,14,Draft
The Objects He Carried,/quiz/guns-and-gear,"<div data-trpl-quiz=""guns-and-gear""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A silver knife from Tiffany's, a buckskin suit sewn in a Dakota shack, an English double rifle subscribed for by fifty strangers, and the Winchester he rated…",https://quiz.labs.trlibrary.com/assets/img/gear/tr-1885-buckskin.jpg,"Theodore Roosevelt seated in a fringed buckskin suit and fur cap, a knife at his belt and an engraved rifle across his knees",Challenging,The Badlands; Adventure & Exploration,14,Draft
The Dakota Papers,/quiz/badlands-expert,"<div data-trpl-quiz=""badlands-expert""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A cattle contract in his own hand, a ledger everyone quotes for what he lost and nobody quotes twice, four hundred dollars for ground he never owned, and one…",https://quiz.labs.trlibrary.com/assets/img/open-range/tr-brands.jpg,"A newspaper advertisement for two ranches, with four cattle engravings showing a maltese cross, a triangle and an elkhorn marked on their sides",Challenging,The Badlands; Writing & Ideas,13,Draft
The Machinery of Conservation,/quiz/conservation-expert,"<div data-trpl-quiz=""conservation-expert""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A forestry school in France, a bureau with no forests, one Iowa congressman who wrote two of the load-bearing statutes, a commission Congress killed by…",https://quiz.labs.trlibrary.com/assets/img/conservation/pinchot-chief-forester.jpg,"Theodore Roosevelt in a top hat and Gifford Pinchot standing together on the deck of a river steamer, seen from behind",Challenging,Conservation; The Presidency,14,Draft
The Instruments of Power,/quiz/presidency-expert,"<div data-trpl-quiz=""presidency-expert""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","An amendment slipped into an appropriations bill, an intermediary between a president and a senator who would not speak to him, a recess that lasted an…",https://quiz.labs.trlibrary.com/assets/img/press/executive-office-1903.jpg,"A large desk with two lamps and stacked books in a panelled office, an empty cane-backed chair beside it",Challenging,The Presidency; Politics & Power,14,Draft
The First Volunteer Cavalry,/quiz/rough-riders-expert,"<div data-trpl-quiz=""rough-riders-expert""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","The carbine Leonard Wood pulled strings to get, the stable fatigues the men wore because nothing else was in the depot, the transport Roosevelt took by running…",https://quiz.labs.trlibrary.com/assets/img/rough-riders-expert/regiment-staff.jpg,"Six officers of the First Volunteer Cavalry standing among pine trees at Tampa, Roosevelt at the right",Challenging,War & Service; Politics & Power,13,Draft
Did He Really Say That?,/quiz/myths-expert,"<div data-trpl-quiz=""myths-expert""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Some of his best-loved lines are things he was quoting from somebody else, some are half a sentence with the other half cut off, and some he never said at all.",https://quiz.labs.trlibrary.com/assets/img/myths-expert/tr-at-desk.jpg,"Theodore Roosevelt bent over a desk in shirt cuffs, writing with a pen under a hanging lamp",Challenging,Legacy & Myths; Writing & Ideas,13,Draft
The Whole Life,/quiz/whole-life,"<div data-trpl-quiz=""whole-life""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","An uncle in Liverpool, a boxing match at Harvard, a bill about cigars, a post office in Baltimore, a submarine in Long Island Sound, and a French prime…",https://quiz.labs.trlibrary.com/assets/img/whole-life/civil-service-commissioner.jpg,"Theodore Roosevelt in his early thirties as a Civil Service Commissioner, seated in a dark suit",Challenging,Early Life; Politics & Power; The Presidency,15,Draft
The Making of a Boy: Family Edition,/quiz/early-life-family,"<div data-trpl-quiz=""early-life-family""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Dead mice in the icebox, a snapping turtle tied to the laundry tub, and a boy of nine writing his own book about insects.",https://quiz.labs.trlibrary.com/assets/img/early-life-family/tr-age-eleven.jpg,"Theodore Roosevelt as a boy of about eleven, in a large bow tie",Introductory,Early Life; Family & Home,9,Draft
What He Saved: Family Edition,/quiz/conservation-family,"<div data-trpl-quiz=""conservation-family""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A cave with stone honeycomb on its walls, houses built into a cliff, and a forest of fallen trees that turned into rock.",https://quiz.labs.trlibrary.com/assets/img/conservation-family/yellowstone-arch.jpg,The stone entrance arch at the north gate of Yellowstone National Park,Introductory,Conservation; The Presidency,9,Draft
The Rough Riders: Family Edition,/quiz/rough-riders-family,"<div data-trpl-quiz=""rough-riders-family""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Twenty thousand men wrote in asking to join. They trained for two weeks, a boy from Tennessee stowed away on the ship, and they ate beans Roosevelt paid for…",https://quiz.labs.trlibrary.com/assets/img/rough-riders-family/tr-rough-rider-portrait.jpg,"Theodore Roosevelt in Rough Rider uniform, mounted on a horse",Introductory,War & Service; Early Life,9,Draft
